,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis,U,Ux,Probability
173,614,U,63025B,20122.17260071,8.115e-05,-96982-6,+15213-3,0,999,9,81.9816,158.1576,0.0555302,31.4847,331.8353,14.59612907,59037,0,5919.377636744891,7072.035422912226,1.3254913309835397,0.03775917311789743,3.019777069756341e-06
229,750,U,64006C,20122.20985711,1.573e-05,+00000-0,+20958-3,0,999,1,60.7685,42.1921,0.17083370000000003,141.6178,231.9702,11.78681838,57710,7,7330.222390344494,8155.272859788057,1.0551124907085616,0.029115844277606755,2.856537576295619e-06
237,829,U,64038A,20122.18617568,2.73e-06,+00000-0,+83293-4,0,999,0,60.8069,36.3694,0.2986467,114.0983,279.9023,9.13988022,81025,9,9453.077931036605,9662.196998279569,1.0894599690671403,0.014497035691084043,4.591808766004477e-06
238,831,U,64038C,20122.18101779,3.219e-05,+00000-0,+37570-3,0,999,4,60.7028,125.9903,0.1603895,30.001,338.3758,12.02025762,9048,7,7187.865911978681,8049.341880700032,1.0512763822245836,0.031162548679922197,2.7136306917038164e-06
258,963,U,64086A,20121.98667837,0.00100425,-12002-4,+70452-3,0,999,5,19.7107,358.1479,0.0695172,52.1914,313.9413,14.46047311,18780,3,5974.908244201977,7116.195803049884,0.3506815066112216,0.05211593122454182,1.6836882962033027e-06
337,1613,U,65078A,20122.43205182,1.312e-05,00000-0,10012-3,0,999,3,144.2344,56.0128,0.12251880000000001,17.5477,346.4109,12.78856821,42632,7,6756.033871910669,7723.632617062355,1.9599657305798255,0.0077371479013961875,3.23476508498983e-05
338,1616,U,65078B,20122.15142585,1.089e-05,+00000-0,+69161-4,0,999,3,144.2343,157.6777,0.10946739999999999,186.2888,172.2783,13.08252989,45513,4,6604.22721954125,7607.4960163097385,1.9538963084851568,0.011737494307524644,2.1745532377489054e-05
369,1863,U,65108A,20122.24651078,-7.5e-07,00000-0,68797-4,0,999,2,26.9003,20.6928,0.609589,324.0922,7.3406,3.84502455,28115,9,22470.59774949941,17209.575027347266,0.5944126607593003,0.10389591021906726,2.8375546950144046e-07
408,2150,U,66034A,20122.20067905,1.588e-05,+00000-0,+98787-4,0,999,8,82.3879,183.3604,0.16250799999999999,323.3512,26.6378,12.09801651,12692,8,7141.666563984545,8014.813889759514,1.3674614736465471,0.05580397569192355,1.7455174689471278e-06
450,2389,U,66070A,20122.17531579,1.134e-05,00000-0,63589-4,0,999,0,81.3917,41.1794,0.12310750000000001,283.7753,62.957,12.94405043,30531,6,6674.881287526008,7661.657960411406,1.3414080427762842,0.04613662533331731,2.2213726493623863e-06
479,2643,U,67001D,20122.07118118,1.065e-05,00000-0,60440-3,0,999,2,25.8782,25.359,0.618043,139.1546,289.1348,3.7335597,66890,0,23141.453985589145,17550.419053440004,0.581019082287026,0.1171230707091957,2.4765267691497266e-07
