,SatelliteCatalogNumber,ElsetClassification,InternationalDesignator,ElementSetEpoch(UTC),1stDerivativeMeanMotion,2ndDerivativeMeanMotion,b*DragTerm,ElementSetType,ElementNumber,Checksum,OrbitInclination,RightAscension,Eccentricity,ArgumentofPerigee,MeanAnomaly,MeanMotion,RevolutionNumberatEpoch,Checksum(2),OrbitalPeriod,SemiMajorAxis
0,5, U, 58002B,20122.02869921,1.73e-06, +00000-0, +22594-3,0,999,0,34.249,14.413,1847116,138.8949,236.6579,10.84840437,20010,2,7964.304892517571,8619.041676988636
1,11, U, 59001A,20122.16382738,6.9e-07, +00000-0, +31152-4,0,999,3,32.8706,232.9567,1468236,344.4857,11.4972,11.85694868,26936,5,7286.866320484065,8123.083745160964
2,12, U, 59001B,20122.35141396,4.6e-07, 00000-0, 11437-4,0,999,7,32.8991,155.7152,1665389,188.303,168.6319,11.44291765,51715,7,7550.521872365305,8317.861966405759
3,16, U, 58002A,20121.7989074,-1.41e-06, +00000-0, -16996-3,0,999,4,34.2627,292.1453,2026550,36.8435,335.5601,10.48693443,45383,6,8238.82332598889,8815.978499279972
4,20, U, 59007A,20122.10490009,3.6e-07, 00000-0, 18002-4,0,999,7,33.3457,350.7271,1665145,15.5177,349.0721,11.55679494,22515,0,7476.121229853717,8263.130642596212
5,22, U, 59009A,20122.11484965,2.49e-06, +00000-0, +41938-4,0,999,6,50.284,324.1784,139707,77.8624,283.7935,14.95117932,46329,8,5778.808356904919,6959.626351623336
6,29, U, 60002B,20122.63614964,-1.4e-06, 00000-0, 10272-4,0,999,7,48.3784,169.5632,23665,30.9479,329.2822,14.74353322,21175,1,5860.196379711484,7024.819595542914
7,45, U, 60007A,20122.21806958,-5.8e-07, +00000-0, +12528-4,0,999,4,66.6923,145.41,257350,348.3631,11.1587,14.33674288,5906,7,6026.473427275416,7157.080351974431
8,46, U, 60007B,20122.19320128,-3e-08, +00000-0, +22563-4,0,999,2,66.6895,174.2051,208526,168.5245,192.0728,14.49291688,13226,1,5961.5328450017305,7105.571650237466
9,47, U, 60007C,20122.54015323,-4.5e-07, 00000-0, 15084-4,0,999,6,66.6651,280.4645,231079,335.8758,23.1654,14.42083845,12835,2,5991.32985918721,7129.228746615512
10,50, U, 60009B,20122.45771715,-2.6e-07, 00000-0, 55404-3,0,999,4,47.2317,267.1288,114001,185.5619,174.3909,12.20111252,66493,5,7081.321466249376,7969.601434241197
11,51, U, 60009C,20122.14357735,-9.9e-07, +00000-0, -13265-3,0,999,3,47.2106,133.7846,104876,21.2411,339.2687,12.18271968,65832,4,7092.0124791051585,7977.620811882275
12,53, U, 60009E,20122.21817483,-1.74e-06, +00000-0, -87857-3,0,999,6,47.2788,44.6499,99909,302.3592,56.7558,12.17241762,66281,4,7098.014765615641,7982.121388089291
13,58, U, 60013A,20122.04390142,9.4e-07, +00000-0, +17577-4,0,999,7,28.3288,335.1518,164912,36.7397,324.4328,13.46321355,93222,7,6417.487153355003,7463.406006251749
14,59, U, 60013B,20122.39517744,8.9e-07, 00000-0, -34116-5,0,999,9,28.2488,99.9271,189147,251.1718,106.8225,13.52975781,94073,5,6385.9236220873645,7438.9140754952095
15,82, U, 61004B,20122.79881299,-7e-08, 00000-0, 20118-4,0,999,5,38.864,11.1273,1174477,218.4719,132.6271,12.26063345,80208,1,7046.944218041197,7943.787502871379
16,85, U, 61004C,20121.78005878,1.281e-05, 00000-0, 29730-3,0,999,9,38.7686,264.207,384867,183.4323,176.3754,14.20483573,92429,0,6082.435703042094,7201.319509675535
17,107, U, 61013A,20122.19719353,6.39e-06, +00000-0, +68256-4,0,999,3,28.7873,88.3419,546806,26.6966,336.0706,14.08949014,95955,0,6132.230417246312,7240.569152939778
18,115, U, 60002D,20122.17876376,-7.8e-07, +00000-0, +17868-4,0,999,7,48.1652,141.554,34040,39.4461,320.8921,14.83570033,18479,1,5823.789782629021,6995.69482425109
19,116, U, 61015A,20122.18858799,-5.8e-07, +00000-0, +14318-4,0,999,8,66.8098,323.7617,71500,37.7542,322.8523,13.91769606,98524,8,6207.924043428206,7300.0302327153095
20,117, U, 61015B,20122.18743538,-6.1e-07, 00000-0, 12203-4,0,999,8,66.8137,59.2092,71794,60.1597,300.6592,13.89851318,98346,7,6216.49228813409,7306.745742917477
21,118, U, 61015C,20122.4858618,-3.2e-07, 00000-0, 30338-4,0,999,7,66.7645,236.2482,78071,43.0724,317.6434,14.01675643,296,8,6164.050893763017,7265.595344599391
22,119, U, 61015D,20122.22407754,2.3e-07, +00000-0, +44775-4,0,999,8,66.7297,65.9755,97338,76.6394,284.5531,14.23298883,3952,7,6070.404539198953,7191.820152626946
23,120, U, 61015E,20122.18455964,1.15e-06, +00000-0, +78777-4,0,999,2,66.7042,135.5307,116935,183.4379,176.5927,14.25373388,2903,9,6061.569601859299,7184.840419770722
24,121, U, 61015F,20122.25195807,-9.4e-07, +00000-0, -10137-4,0,999,2,66.7478,201.528,87794,130.4972,230.3804,13.99688968,1312,7,6172.799955939925,7272.468759334547
25,122, U, 61015G,20122.08117077,3.2e-06, 00000-0, 71035-4,0,999,1,66.7526,18.3945,70566,181.1151,178.9823,14.69173557,8424,5,5880.857274373064,7041.321193460358
26,123, U, 61015H,20121.77326554,-3e-08, +00000-0, +27868-4,0,999,3,66.6851,250.6953,108050,106.6711,254.6285,14.37058084,5754,9,6012.283077626806,7145.84090180219
27,124, U, 61015J,20122.22108009,2.08e-06, +00000-0, +10902-3,0,999,4,66.5453,38.3753,83948,246.7603,112.4639,14.30469607,3839,6,6039.974535439395,7167.76570259574
28,125, U, 61015K,20122.12644967,-7e-07, +00000-0, +54780-5,0,999,4,66.8744,119.5674,82793,262.7684,96.3986,14.05509866,256,0,6147.235397634697,7252.375660709732
29,126, U, 61015L,20121.87923247,1.69e-06, +00000-0, +85831-4,0,999,5,66.7122,273.9652,60359,105.9376,254.8387,14.36225808,4251,1,6015.767125109341,7148.6012558716675
30,127, U, 61015M,20122.45092691,2.11e-06, 00000-0, 94072-4,0,999,6,66.8289,123.742,81700,280.3585,78.8317,14.38738283,4417,4,6005.261764484514,7140.27640917154
31,128, U, 61015N,20122.12740076,-4e-07, +00000-0, +25322-4,0,999,1,66.6772,11.6692,88854,49.8052,311.0765,14.01188836,145,6,6166.192434607721,7267.278076581634
32,130, U, 61015Q,20122.22304173,-4.7e-07, +00000-0, +21384-4,0,999,0,66.7731,37.9384,80041,57.4184,303.4595,13.98710107,99845,3,6177.1198740612235,7275.861364157048
33,131, U, 61015R,20121.90148896,3e-08, +00000-0, +53765-4,0,999,2,66.7347,278.1788,82538,194.4523,165.4199,14.00682686,98989,4,6168.420646844492,7269.028704489669
34,132, U, 61015S,20122.18640273,-5.2e-07, +00000-0, +19482-4,0,999,3,66.6588,101.3787,82259,260.4197,98.7581,13.9431894,99162,6,6196.573647633304,7291.129404064965
35,133, U, 61015T,20122.23688601,3.25e-06, +00000-0, +19472-3,0,999,7,67.1143,120.3353,47604,125.175,235.3819,14.18184659,1576,7,6092.29548858066,7209.099758702681
36,134, U, 61015U,20122.23324825,-1.5e-07, +00000-0, +43412-4,0,999,2,66.8785,151.6059,82390,0.5449,359.5708,13.96827998,99305,6,6185.443026894425,7282.3956407564165
37,136, U, 61015W,20122.44916175,1.33e-06, 00000-0, 75028-4,0,999,0,67.5305,236.7049,61703,269.0915,90.3122,14.33547345,3591,2,6027.007081513586,7157.502859979258
38,138, U, 61015Y,20122.23444074,1.05e-06, +00000-0, +11922-3,0,999,4,67.1548,195.6169,25854,63.6083,296.7653,14.01694635,98895,8,6163.967375105206,7265.529715231934
39,141, U, 61015AB,20122.2127522,5.1e-07, +00000-0, +10906-3,0,999,2,66.5872,126.2015,48260,63.4712,297.1299,13.86863208,96140,6,6229.886228260228,7317.237297817093
40,144, U, 61015AE,20122.19274823,1.9e-07, +00000-0, +78980-4,0,999,1,66.4985,157.6231,45487,338.134,21.7793,13.90080816,97347,9,6215.465964678128,7305.941506856779
41,145, U, 61015AF,20122.23989247,7.2e-07, +00000-0, +97681-4,0,999,8,66.9252,161.8495,59306,149.582,210.8729,14.01336776,298,4,6165.541465815351,7266.766593520213
42,147, U, 61015AH,20122.19799197,3.45e-06, +00000-0, +20196-3,0,999,7,66.6208,27.3996,57356,203.9952,155.8466,14.19071799,1650,9,6088.486858866823,7206.094908484902
43,148, U, 61015AJ,20122.22633288,1.35e-06, +00000-0, +12359-3,0,999,9,65.776,208.7848,146998,15.1457,345.3951,14.05692641,44401,4,6146.436104163968,7251.746987627063
44,150, U, 61015AL,20122.10862678,-2.9e-07, +00000-0, +46142-4,0,999,7,66.2509,9.9319,54083,116.8258,243.8356,13.81236215,79918,5,6255.266048030748,7337.0968684161535
